Week,Nodes,MIS_Pool_Size,Layers,MISM_DyCLA,MIS_static,DyCLA_pure,Random,Week_Time_s
0,316,158,4,34.2,24.3,13.0,11.0,36.2
1,316,158,5,34.3,22.0,19.0,10.0,51.3
2,316,158,4,28.8,22.7,13.0,14.0,36.6
3,316,158,4,23.0,13.0,10.0,10.0,33.7
4,316,158,4,35.0,25.8,10.0,13.5,44.5
5,316,158,3,22.0,15.0,10.0,11.5,27.4
6,316,158,4,40.6,30.5,14.8,22.3,47.0
7,316,158,4,34.4,23.0,10.2,12.5,41.0
8,316,158,5,53.5,43.8,18.0,12.5,68.5
9,316,158,4,32.5,23.5,11.0,10.0,38.9
10,316,158,3,15.0,10.0,10.0,10.0,24.6
11,316,158,4,26.2,17.0,10.0,11.5,33.6
12,316,158,4,38.0,28.0,11.0,12.0,41.6
13,316,158,4,32.3,22.5,15.5,15.0,37.1
14,316,158,4,27.1,16.0,15.0,10.2,32.1
15,316,158,5,37.2,30.5,12.5,19.8,52.3
16,316,158,4,30.0,21.0,13.0,12.0,37.0
17,316,158,4,25.5,16.0,11.0,11.0,34.5
18,316,158,4,35.0,29.0,13.3,11.0,39.3
19,316,158,4,36.5,28.5,14.5,10.2,45.7
20,316,158,4,30.6,18.0,11.0,12.0,38.3
21,316,158,4,27.6,15.0,16.3,12.3,32.6
22,316,158,4,33.5,25.0,13.0,14.0,41.6
23,316,158,4,55.8,35.3,16.5,14.5,59.1
24,316,158,4,31.5,23.0,13.0,13.0,35.1
25,316,158,4,25.2,14.0,12.1,14.5,32.3
26,316,158,5,28.8,21.0,14.0,11.0,40.9
27,316,158,4,19.8,11.0,11.0,10.0,30.4
28,316,158,3,43.2,32.7,12.0,13.7,48.5
29,316,158,4,44.2,33.0,15.5,19.7,54.5
30,316,158,4,27.0,18.0,12.0,15.0,34.6
31,316,158,5,41.9,32.3,10.0,14.5,55.3
32,316,158,4,55.0,49.4,16.7,15.1,63.8
33,316,158,4,48.5,38.0,14.8,23.6,57.5
34,316,158,5,49.3,39.2,22.0,17.0,62.9
35,316,158,4,39.3,30.2,11.5,25.7,49.5
36,316,158,5,35.5,20.5,12.0,15.0,42.7
37,316,158,4,45.0,36.3,12.2,10.5,47.6
38,316,158,5,24.0,16.0,10.0,13.0,36.9
39,316,158,4,25.5,16.5,13.0,15.5,34.5
40,316,158,4,48.1,40.2,12.0,20.3,54.6
41,316,158,4,25.0,15.0,12.0,13.0,34.0
42,316,158,4,27.8,16.0,12.0,10.0,34.6
43,316,158,5,31.0,19.5,15.5,14.5,44.9
44,316,158,4,46.8,35.0,11.0,12.0,48.3
45,316,158,4,39.5,28.5,13.0,18.5,45.7
46,316,158,5,42.7,35.3,16.7,13.8,49.7
47,316,158,4,66.8,58.0,13.0,15.6,76.0
48,316,158,4,27.7,18.0,13.4,11.0,33.2
49,316,158,4,26.6,18.0,12.5,11.0,32.8
50,316,158,5,54.0,45.2,10.7,14.0,74.5
51,316,158,5,40.6,29.3,12.0,14.3,49.5
52,316,158,4,47.5,28.5,16.0,20.5,53.7
53,316,158,4,54.6,41.8,11.0,17.3,61.4
54,316,158,4,48.9,41.2,13.1,17.5,56.2
55,316,158,5,56.8,47.1,12.0,27.1,65.0
56,316,158,4,36.3,23.5,12.0,14.0,41.6
57,316,158,3,33.5,20.0,10.0,14.0,36.1
58,316,158,4,20.0,14.0,11.0,12.0,31.0
59,316,158,4,26.6,19.0,10.0,12.0,34.6
60,316,158,4,61.3,47.2,13.4,15.0,62.1
61,316,158,5,98.8,96.9,23.4,28.9,112.3
62,316,158,4,27.0,18.0,10.0,11.0,36.2
63,316,158,4,57.9,40.3,19.4,16.0,57.1
64,316,158,5,114.3,98.7,15.1,17.7,128.8
65,316,158,4,65.5,44.7,23.0,13.6,78.9
66,316,158,4,53.7,40.4,13.0,13.8,55.8
67,316,158,5,77.9,63.9,15.2,39.1,110.4
68,316,158,4,68.6,56.3,36.1,15.0,80.5
69,316,158,4,84.0,73.2,17.1,16.4,112.1
70,316,158,5,92.5,79.7,35.5,21.8,126.4
71,316,158,4,93.3,74.9,19.7,18.2,108.6
72,316,158,5,97.6,64.1,29.5,29.2,135.2
73,316,158,4,95.1,80.3,24.5,53.7,159.3
74,316,158,5,115.9,108.3,30.0,58.0,289.4
75,316,158,3,31.2,19.0,10.0,10.0,40.9
113,316,158,1,10.0,10.0,10.0,10.0,10.1
114,316,158,4,29.0,22.0,13.0,14.0,34.3
