Month,Month_Index,Nodes,Edges,MIS_Pool_Size,Layers,MISM_DyCLA,MIS_static,DyCLA_pure,Random
483,0,24818,44,250,2,10.5,10.4,10.0,10.0
484,1,24818,3379,250,3,33.8,34.2,10.0,17.9
485,2,24818,4479,250,3,37.0,36.8,10.0,14.2
486,3,24818,3885,250,3,33.5,34.9,10.0,17.4
487,4,24818,4503,250,3,41.4,41.6,10.0,15.4
488,5,24818,4934,250,3,37.6,39.2,10.0,19.5
489,6,24818,5387,250,3,38.0,38.4,10.1,18.0
490,7,24818,5274,250,3,29.7,31.8,10.0,18.6
491,8,24818,5480,250,3,35.1,32.4,10.0,15.2
492,9,24818,5985,250,3,42.2,41.9,10.0,14.1
493,10,24818,6478,250,3,42.7,44.2,10.0,15.5
494,11,24818,5471,250,3,34.8,33.7,10.0,13.8
495,12,24818,5388,250,3,30.1,28.0,10.0,12.6
496,13,24818,6107,250,3,32.6,31.2,10.0,14.1
497,14,24818,6138,250,3,31.8,30.5,10.3,13.8
498,15,24818,5222,250,3,26.2,23.8,10.2,12.4
499,16,24818,4823,250,3,28.2,26.9,10.0,15.2
500,17,24818,5832,250,3,29.7,30.9,10.0,14.7
501,18,24818,5153,250,3,25.1,26.6,10.0,12.5
502,19,24818,5322,250,3,26.4,25.4,10.0,15.8
503,20,24818,5316,250,3,24.8,24.9,10.0,14.2
504,21,24818,4580,250,3,23.1,23.7,10.0,13.7
505,22,24818,3879,250,3,22.3,21.8,10.0,12.1
506,23,24818,3997,250,3,22.7,22.3,10.0,15.2
507,24,24818,4362,250,3,23.1,23.7,10.1,12.7
508,25,24818,4284,250,3,24.0,23.4,10.0,13.8
509,26,24818,4459,250,3,23.3,24.3,10.0,12.5
510,27,24818,4135,250,3,25.0,23.4,10.1,13.1
511,28,24818,3353,250,3,21.0,22.2,10.0,12.1
512,29,24818,4095,250,3,21.5,21.9,10.0,13.8
513,30,24818,4382,250,3,22.8,22.8,10.0,13.1
514,31,24818,4224,250,3,22.3,22.6,10.3,13.9
515,32,24818,4232,250,3,24.0,24.1,10.0,13.4
516,33,24818,4029,250,3,23.5,23.5,10.0,12.9
517,34,24818,3983,250,3,22.0,19.8,10.0,12.7
518,35,24818,3816,250,3,24.2,23.1,10.0,15.7
519,36,24818,3949,250,3,25.3,25.3,10.3,13.9
520,37,24818,3904,250,3,21.4,21.1,10.0,12.6
521,38,24818,3995,250,3,22.2,24.2,10.2,12.7
522,39,24818,4459,250,3,24.6,24.2,10.0,12.6
523,40,24818,3903,250,3,21.7,21.4,10.0,12.6
524,41,24818,4447,250,3,21.8,21.3,10.0,14.2
525,42,24818,4534,250,3,23.8,23.6,10.1,11.6
526,43,24818,4225,250,3,20.9,20.6,10.0,13.6
527,44,24818,4464,250,3,21.4,20.6,10.0,15.0
528,45,24818,4532,250,3,22.5,23.5,10.1,13.4
529,46,24818,4030,250,3,20.8,20.6,10.0,12.9
530,47,24818,3564,250,3,20.8,20.7,10.2,12.1
531,48,24818,3488,250,3,19.5,19.8,10.0,12.7
532,49,24818,3409,250,3,18.9,18.7,10.0,11.6
533,50,24818,3794,250,3,20.8,20.9,10.3,11.3
534,51,24818,3701,250,3,20.3,20.3,10.0,13.3
535,52,24818,3510,250,3,18.5,16.9,10.0,14.5
536,53,24818,3807,250,3,19.2,19.6,10.1,12.7
537,54,24818,3708,250,3,20.4,20.5,10.0,14.5
538,55,24818,3638,250,3,19.5,19.1,10.2,11.4
539,56,24818,3630,250,3,17.4,17.4,10.0,12.6
540,57,24818,3644,250,3,18.4,18.2,10.0,12.3
541,58,24818,3126,250,3,19.6,19.6,10.0,11.3
542,59,24818,3428,250,3,20.2,19.9,10.1,11.9
543,60,24818,3105,250,3,19.6,18.8,10.0,13.2
544,61,24818,3455,250,3,20.1,20.0,10.0,10.8
545,62,24818,3530,250,3,20.2,19.3,10.0,13.1
546,63,24818,3546,250,3,18.0,17.9,10.9,12.1
547,64,24818,2927,250,3,18.1,17.8,10.0,11.7
548,65,24818,3353,250,3,19.6,19.7,10.0,12.7
549,66,24818,3288,250,3,18.6,17.9,10.0,12.0
550,67,24818,3786,250,3,19.5,19.5,10.0,11.1
551,68,24818,3525,250,3,21.6,20.3,10.0,12.3
552,69,24818,3468,250,3,19.4,19.4,10.0,13.1
553,70,24818,3066,250,3,19.1,18.4,10.0,11.6
554,71,24818,2842,250,3,17.2,17.1,10.0,11.6
555,72,24818,3184,250,3,18.4,17.9,10.0,12.3
556,73,24818,3704,250,3,20.5,20.1,10.0,11.6
557,74,24818,3800,250,3,19.5,19.9,10.0,12.9
558,75,24818,3490,250,3,19.7,19.1,10.0,12.6
559,76,24818,3260,250,3,19.9,20.2,10.0,13.6
560,77,24818,3124,250,3,20.0,20.1,10.0,11.7
561,78,24818,3653,250,3,19.8,21.8,10.1,11.4
562,79,24818,938,250,3,13.0,12.4,10.0,10.3
